top - 11:33:55 up  1:36,  1 user,  load average: 0.09, 0.24, 0.26
Tasks: 257 total,   1 running, 193 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.3 us,  1.3 sy,  0.0 ni, 93.8 id,  0.4 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem : 12268392 total,  3227744 free,  2276188 used,  6764460 buff/cache
KiB Swap:  2097148 total,  2095856 free,     1292 used.  9517708 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  313 root      19  -1   94960  12620  11740 S   0.0  0.1   0:00.32 systemd-journal
  326 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/2:2-pm
  334 root      20   0   46464   4488   3012 S   0.0  0.0   0:00.24 systemd-udevd
  339 root       0 -20       0      0      0 S   0.0  0.0   0:00.01 loop0
  363 root       0 -20       0      0      0 S   0.0  0.0   0:00.01 loop1
  384 root       0 -20       0      0      0 S   0.0  0.0   0:00.01 loop2
  408 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop3
  409 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop4
  410 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop5
  445 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop6
  459 systemd+  20   0   70624   6024   5384 S   0.0  0.0   0:00.14 systemd-resolve
  466 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 iprt-VBoxWQueue
  487 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop7
  548 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/4:2-eve
  551 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 cryptd
  557 root     -51   0       0      0      0 S   0.0  0.0   0:01.03 irq/18-vmwgfx
  559 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ttm_swap
  571 root      20   0  110420   2080   1860 S   0.0  0.0   0:00.37 irqbalance
  572 root      20   0  434328   9420   8008 S   0.0  0.1   0:00.07 ModemManager
  574 root      20   0 1898160  27748  15040 S   0.0  0.2   0:01.18 snapd
  575 root      20   0  287644   6932   5996 S   0.0  0.1   0:00.43 accounts-daemon
  576 root      20   0    4556    900    840 S   0.0  0.0   0:00.06 acpid
  578 root      20   0  503076  11128   9020 S   0.0  0.1   0:00.08 udisksd
  582 syslog    20   0  263040   4368   3600 S   0.0  0.0   0:00.10 rsyslogd
  583 root      20   0  170532  16900   8984 S   0.0  0.1   0:00.11 networkd-dispat
  594 root      20   0   70460   5788   5152 S   0.0  0.0   0:00.11 systemd-logind
  596 avahi     20   0   47264   3276   2940 S   0.0  0.0   0:00.05 avahi-daemon
  599 message+  20   0   51508   5824   3940 S   0.0  0.0   0:01.50 dbus-daemon
  626 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/5:2-eve
  658 avahi     20   0   47080    336      0 S   0.0  0.0   0:00.00 avahi-daemon
  715 root      20   0   45236   5268   4724 S   0.0  0.0   0:00.10 wpa_supplicant
  716 root      20   0  558592  16672  13876 S   0.0  0.1   0:00.51 NetworkManager
  718 root      20   0   31324   3196   2912 S   0.0  0.0   0:00.01 cron
  727 root      20   0  293000   8704   6108 S   0.0  0.1   0:00.11 polkitd
  739 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/6:2-eve
  777 root      20   0  187340  19584  11696 S   0.0  0.2   0:00.07 unattended-upgr
  803 ntp       20   0  111952   4288   3660 S   0.0  0.0   0:01.32 ntpd
  864 root      20   0   25988   6260   5000 S   0.0  0.1   0:00.00 dhclient
  880 whoopsie  20   0  388476  12324  10704 S   0.0  0.1   0:00.01 whoopsie
  886 kernoops  20   0   56944    420      0 S   0.0  0.0   0:00.21 kerneloops
  892 kernoops  20   0   56944    424      0 S   0.0  0.0   0:00.12 kerneloops
 1015 root      20   0  300952   7924   6700 S   0.0  0.1   0:00.02 gdm3
 1019 root      20   0  321384   3004   2568 S   0.0  0.0   0:02.60 VBoxService
 1041 root      20   0  264756   8384   7136 S   0.0  0.1   0:00.01 gdm-session-wor
 1045 shenggu+  20   0   76832   7988   6608 S   0.0  0.1   0:00.07 systemd
 1046 shenggu+  20   0  113956   2556      0 S   0.0  0.0   0:00.00 (sd-pam)
 1059 shenggu+  20   0  281276   6788   5852 S   0.0  0.1   0:00.07 gnome-keyring-d
 1063 shenggu+  20   0  205028   5896   5284 S   0.0  0.0   0:00.00 gdm-x-session
 1087 shenggu+  20   0   50892   5280   3852 S   0.0  0.0   0:00.38 dbus-daemon
 1090 shenggu+  20   0  625700  13864  11328 S   0.0  0.1   0:00.17 gnome-session-b
 1188 shenggu+  20   0   48464    352      0 S   0.0  0.0   0:00.00 VBoxClient
 1189 shenggu+  20   0  182904   4928   4180 S   0.0  0.0   0:00.02 VBoxClient
 1198 shenggu+  20   0   48464    352      0 S   0.0  0.0   0:00.00 VBoxClient
 1199 shenggu+  20   0  180700   2876   2520 S   0.0  0.0   0:00.00 VBoxClient
 1205 shenggu+  20   0   48464    352      0 S   0.0  0.0   0:00.00 VBoxClient
 1206 shenggu+  20   0  181216   2868   2512 S   0.0  0.0   0:18.32 VBoxClient
 1210 shenggu+  20   0   48464    352      0 S   0.0  0.0   0:00.00 VBoxClient
 1212 shenggu+  20   0  185012   3772   3256 S   0.0  0.0   0:00.03 VBoxClient
 1221 shenggu+  20   0   11312    320      0 S   0.0  0.0   0:00.08 ssh-agent
 1239 shenggu+  20   0  349296   6208   5624 S   0.0  0.1   0:00.00 at-spi-bus-laun
 1244 shenggu+  20   0   49928   4232   3768 S   0.0  0.0   0:00.04 dbus-daemon
 1246 shenggu+  20   0  220784   6912   6216 S   0.0  0.1   0:00.30 at-spi2-registr
 1302 root      20   0  315212   8680   7536 S   0.0  0.1   0:00.11 upowerd
 1326 shenggu+  20   0  284864   7036   6116 S   0.0  0.1   0:00.01 gvfsd
 1331 shenggu+  20   0  416116   5360   4824 S   0.0  0.0   0:00.00 gvfsd-fuse
 1342 shenggu+   9 -11 1334248  16592  12764 S   0.0  0.1   0:00.05 pulseaudio
 1343 rtkit     21   1  183512   2936   2668 S   0.0  0.0   0:00.28 rtkit-daemon
 1367 shenggu+  20   0  428264   7664   6200 S   0.0  0.1   0:01.38 ibus-daemon
 1371 shenggu+  20   0  273644   6376   5728 S   0.0  0.1   0:00.00 ibus-dconf
 1373 shenggu+  20   0  336852  20552  15956 S   0.0  0.2   0:00.12 ibus-x11
 1375 shenggu+  20   0  271452   5860   5428 S   0.0  0.0   0:00.05 ibus-portal
 1380 shenggu+  20   0  264456   5412   4904 S   0.0  0.0   0:00.00 xdg-permission-
 1391 shenggu+  20   0  689792  20380  17420 S   0.0  0.2   0:00.04 gnome-shell-cal
 1395 shenggu+  20   0 1365064  25444  21088 S   0.0  0.2   0:00.25 evolution-sourc
 1403 shenggu+  20   0  783760  33728  27776 S   0.0  0.3   0:00.04 goa-daemon
 1405 root      20   0  289768   6740   6012 S   0.0  0.1   0:00.02 boltd
 1412 shenggu+  20   0  187908   5080   4396 S   0.0  0.0   0:00.01 dconf-service
 1418 shenggu+  20   0  373072   8444   7080 S   0.0  0.1   0:00.04 gvfs-udisks2-vo
 1423 shenggu+  20   0  268764   4876   4408 S   0.0  0.0   0:00.00 gvfs-mtp-volume
 1433 shenggu+  20   0  296256   7552   6728 S   0.0  0.1   0:00.12 goa-identity-se
 1434 shenggu+  20   0  281556   5520   4936 S   0.0  0.0   0:00.00 gvfs-gphoto2-vo
 1441 shenggu+  20   0  266940   6052   5480 S   0.0  0.0   0:00.00 gvfs-goa-volume
 1445 shenggu+  20   0  371724   7700   6820 S   0.0  0.1   0:00.00 gvfs-afc-volume
 1450 root      20   0  515636  40700  12916 S   0.0  0.3   0:05.60 packagekitd
 1451 shenggu+  20   0  583624  22692  16860 S   0.0  0.2   0:00.21 gsd-power
 1452 shenggu+  20   0  342224  10080   8748 S   0.0  0.1   0:00.01 gsd-print-notif
 1454 shenggu+  20   0  416240   5900   5228 S   0.0  0.0   0:00.01 gsd-rfkill
 1455 shenggu+  20   0  268628   4732   4344 S   0.0  0.0   0:00.01 gsd-screensaver
 1462 shenggu+  20   0  445736   8780   7572 S   0.0  0.1   0:00.01 gsd-sharing
 1466 shenggu+  20   0  487416  21200  16020 S   0.0  0.2   0:00.18 gsd-xsettings
 1471 shenggu+  20   0  370960   9136   8244 S   0.0  0.1   0:00.01 gsd-smartcard
 1472 shenggu+  20   0  327872   7908   6928 S   0.0  0.1   0:00.01 gsd-sound
 1481 shenggu+  20   0  421168  21924  16080 S   0.0  0.2   0:00.16 gsd-wacom
 1490 shenggu+  20   0  271048   5772   5208 S   0.0  0.0   0:00.00 gsd-a11y-settin
 1492 shenggu+  20   0  336464  19932  15336 S   0.0  0.2   0:00.16 gsd-clipboard
 1495 shenggu+  20   0  790744  22376  16444 S   0.0  0.2   0:01.44 gsd-color
 1497 shenggu+  20   0  467832  20964  13932 S   0.0  0.2   0:00.12 gsd-datetime
 1498 shenggu+  20   0  357340   6912   6164 S   0.0  0.1   0:00.16 gsd-housekeepin
 1500 shenggu+  20   0  499344  21200  16444 S   0.0  0.2   0:00.15 gsd-keyboard
 1506 shenggu+  20   0 1008976  22920  17796 S   0.0  0.2   0:00.20 gsd-media-keys
 1507 shenggu+  20   0  271052   5756   5188 S   0.0  0.0   0:00.01 gsd-mouse
 1529 shenggu+  20   0  501668  12496  10764 S   0.0  0.1   0:00.02 gsd-printer
 1551 colord    20   0  317868  13524   8732 S   0.0  0.1   0:00.15 colord
 1577 shenggu+  20   0  858376 101468  48828 S   0.0  0.8   0:02.42 nautilus-deskto
 1584 shenggu+  20   0  271936   6068   5064 S   0.0  0.0   0:00.01 gsd-disk-utilit
 1609 shenggu+  20   0  361004   7448   6336 S   0.0  0.1   0:00.00 gvfsd-trash
 1619 shenggu+  20   0  885596  67676  27244 S   0.0  0.6   0:00.22 evolution-calen
 1642 shenggu+  20   0 1129204  62476  23012 S   0.0  0.5   0:00.23 evolution-calen
 1644 shenggu+  20   0  197780   6432   5816 S   0.0  0.1   0:00.38 ibus-engine-sim
 1656 shenggu+  20   0  725608  24020  20616 S   0.0  0.2   0:00.03 evolution-addre
